alpha,sigma,momentum,batch_size,training_loss,training_error,validation_error
0.1,0.0,0.5,64,0.32499368109526117,0.15103958723626423,0.15140347644493582
0.1,0.0,0.5,128,0.3250401544007984,0.15315868677251926,0.1487623610343345
0.1,0.0,0.9,32,0.33515622773119264,0.1567826540953902,0.16092377618082426
0.1,0.0,0.9,64,0.3305084615367357,0.1530665520100734,0.1520791106197408
0.1,0.0,0.9,128,0.32424816849364707,0.15159239581093947,0.1504821571156563
0.1,0.0001,0.0,32,0.3244896431262726,0.15165381898590338,0.14906946747742766
0.1,0.0001,0.0,64,0.32519866372035,0.1530051288351095,0.14814814814814814
0.1,0.0001,0.0,128,0.3270416703299721,0.1532815331224471,0.1480867268595295
0.1,0.0001,0.5,32,0.3273412527762052,0.15254445502288014,0.1534918002579694
0.1,0.0001,0.5,64,0.32624806752470975,0.15137741469856578,0.15158774031079172
0.1,0.0001,0.5,128,0.3276631631703925,0.15466355455913516,0.15146489773355445
0.1,0.0001,0.9,32,0.333733407278685,0.15454070820920734,0.15429027701001166
0.1,0.0001,0.9,64,0.32752873465082843,0.15202235803568687,0.15140347644493582
0.1,0.0001,0.9,128,0.3250998619415253,0.1517152421608673,0.1506664209815122
0.1,0.001,0.0,32,0.32805054520167665,0.1537114953471945,0.1493151526319022
0.1,0.001,0.0,64,0.32838512136188625,0.15368078375971253,0.1482709907253854
0.1,0.001,0.0,128,0.3296877656260963,0.15417216915942386,0.14949941649775814
0.1,0.001,0.5,32,0.32898862245328364,0.15309726359755535,0.14888520361157176
0.1,0.001,0.5,64,0.3277997584807908,0.15325082153496514,0.14796388428229224
0.1,0.001,0.5,128,0.32916399588838485,0.15469426614661713,0.15115779129046128
0.1,0.001,0.9,32,0.33674197409589873,0.15604557599582322,0.1545359621644862
0.1,0.001,0.9,64,0.3405400793810178,0.15930100426891067,0.1567471285547571
0.1,0.001,0.9,128,0.3290220752525854,0.1528515708976997,0.15011362938394449
0.1,0.01,0.0,32,0.357788049586667,0.1646141089032892,0.16325778514833242
0.1,0.01,0.0,64,0.3578430947716676,0.16261785571696202,0.16129230391253607
0.1,0.01,0.0,128,0.35809018801533754,0.1616350849175394,0.16086235489220563
0.1,0.01,0.5,32,0.35932431006596693,0.16317066429163724,0.1616608316442479
0.1,0.01,0.5,64,0.35763501677810383,0.16492122477810878,0.1633806277255697
0.1,0.01,0.5,128,0.35821731783674665,0.16102085316790024,0.160125299428782
0.1,0.01,0.9,32,0.38481435202699654,0.17413470102269588,0.17363798292488175
0.1,0.01,0.9,64,0.3658396340258432,0.17606953103405915,0.17443645967692403
0.1,0.01,0.9,128,0.35771165053008186,0.16292497159178157,0.16159941035562927
